year,survey,type,type_survey,year_type_survey,coding,statistics,modeling,command_line,bioinformatics,comp_resources,mol_bio,gen_breed,plant_devo,phylogen,team,other_countries,across_languages,management,interdisc,sci_comm,sci_writing
y20,0_initial,bio,bio_initial,y20_bio_initial,2,6,1,NaN,3,3,9,7,8,6,7,NaN,NaN,7,8,7,9
y20,0_initial,bio,bio_initial,y20_bio_initial,6,5,8,NaN,4,1,9,9,8,7,9,NaN,NaN,9,8,7,7
y20,0_initial,bio,bio_initial,y20_bio_initial,4,7,1,NaN,4,3,7,5,6,4,7,NaN,NaN,7,8,3,7
y20,0_initial,bio,bio_initial,y20_bio_initial,6,7,3,NaN,8,8,10,10,9,8,10,NaN,NaN,3,8,10,1
y20,1_mid,bio,bio_mid,y20_bio_mid,6,2,1,NaN,6,6,3,7,3,3,10,NaN,NaN,7,10,7,2
y20,1_mid,bio,bio_mid,y20_bio_mid,5,5,5,NaN,5,5,7,8,9,5,8,NaN,NaN,6,6,7,9
y20,1_mid,bio,bio_mid,y20_bio_mid,5,5,3,NaN,3,5,6,5,5,2,8,NaN,NaN,6,8,7,6
y20,1_mid,bio,bio_mid,y20_bio_mid,4,4,4,NaN,4,4,9,8,6,8,7,NaN,NaN,3,9,5,5
y20,1_mid,bio,bio_mid,y20_bio_mid,8,8,1,NaN,8,9,10,10,7,5,10,NaN,NaN,10,10,8,9
y20,1_mid,bio,bio_mid,y20_bio_mid,3,6,2,NaN,4,4,9,8,9,8,7,NaN,NaN,9,9,9,10
y20,1_mid,bio,bio_mid,y20_bio_mid,8,8,8,NaN,5,4,9,9,8,5,8,NaN,NaN,7,8,8,5
y20,1_mid,bio,bio_mid,y20_bio_mid,3,7,2,NaN,3,3,5,5,7,3,9,NaN,NaN,8,6,3,7
y20,1_mid,bio,bio_mid,y20_bio_mid,7,5,5,NaN,8,7,10,10,9,9,10,NaN,NaN,9,8,10,3
y20,2_final,quant,quant_final,y20_quant_final,6,8,5,NaN,5,7,6,6,3,3,8,NaN,NaN,5,7,8,5
y20,2_final,quant,quant_final,y20_quant_final,9,9,9,NaN,9,9,8,7,7,7,10,NaN,NaN,9,9,9,8
y20,2_final,quant,quant_final,y20_quant_final,10,8,8,NaN,8,10,7,7,6,8,9,NaN,NaN,8,9,8,7
y20,2_final,quant,quant_final,y20_quant_final,9,5,5,NaN,6,9,3,2,2,8,9,NaN,NaN,6,10,6,6
y20,0_initial,quant,quant_initial,y20_quant_initial,5,8,7,NaN,5,5,2,1,1,1,9,NaN,NaN,5,7,7,7
y20,0_initial,quant,quant_initial,y20_quant_initial,8,9,8,NaN,8,8,1,1,1,1,8,NaN,NaN,8,8,8,6
y20,0_initial,quant,quant_initial,y20_quant_initial,9,8,9,NaN,9,9,7,6,4,8,6,NaN,NaN,6,8,9,9
y20,0_initial,quant,quant_initial,y20_quant_initial,8,6,4,NaN,4,8,2,1,1,7,8,NaN,NaN,4,10,8,7
y20,1_mid,quant,quant_mid,y20_quant_mid,7,8,7,NaN,6,7,2,2,1,1,10,NaN,NaN,5,8,6,5
y20,1_mid,quant,quant_mid,y20_quant_mid,9,9,9,NaN,7,8,3,3,2,2,8,NaN,NaN,4,4,8,4
y20,1_mid,quant,quant_mid,y20_quant_mid,9,9,8,NaN,9,10,9,9,6,8,8,NaN,NaN,6,9,9,9
y20,1_mid,quant,quant_mid,y20_quant_mid,9,7,7,NaN,7,8,3,1,1,6,9,NaN,NaN,5,10,6,6
y21,2_final,msu,msu_final,y21_msu_final,8,8,8,6,7,8,7,9,9,7,10,10,10,10,10,10,10
y21,2_final,msu,msu_final,y21_msu_final,8,7,7,9,8,9,8,9,9,9,7,9,8,6,8,8,8
y21,2_final,msu,msu_final,y21_msu_final,3,3,2,2,3,3,3,2,2,2,9,9,9,4,9,9,10
y21,2_final,msu,msu_final,y21_msu_final,7,6,6,7,7,8,6,8,7,5,7,8,8,8,8,8,7
y21,2_final,msu,msu_final,y21_msu_final,6,6,4,5,6,6,7,6,5,7,9,8,7,9,9,9,6
y21,2_final,msu,msu_final,y21_msu_final,9,9,8,8,7,7,3,4,4,4,10,9,8,9,9,8,8
y21,2_final,msu,msu_final,y21_msu_final,4,8,6,4,7,7,9,9,9,7,9,9,9,9,9,10,9
y21,2_final,msu,msu_final,y21_msu_final,8,7,8,8,2,8,2,2,2,2,10,10,10,10,10,8,10
y21,2_final,msu,msu_final,y21_msu_final,5,6,2,7,7,6,9,6,8,6,9,7,3,8,9,9,7
y21,2_final,msu,msu_final,y21_msu_final,7,4,1,8,8,8,9,7,5,5,10,10,10,9,8,8,10
y21,2_final,msu,msu_final,y21_msu_final,6,6,5,5,3,6,4,4,8,2,10,10,9,10,8,9,8
y21,2_final,msu,msu_final,y21_msu_final,5,4,4,5,4,5,6,6,6,8,8,9,6,7,10,8,8
y21,2_final,msu,msu_final,y21_msu_final,7,7,7,6,6,7,8,8,8,8,9,9,9,9,9,9,8
y21,2_final,msu,msu_final,y21_msu_final,8,8,7,7,7,7,7,7,7,7,7,7,3,4,5,6,6
y21,2_final,msu,msu_final,y21_msu_final,4,5,3,5,5,5,6,7,8,5,9,10,10,7,10,10,10
y21,2_final,msu,msu_final,y21_msu_final,7,7,3,2,3,4,2,2,6,2,9,9,9,7,8,8,8
y21,2_final,msu,msu_final,y21_msu_final,7,8,7,7,8,8,8,9,6,4,9,10,10,8,9,9,8
y21,2_final,msu,msu_final,y21_msu_final,4,4,2,2,2,3,3,4,7,5,9,8,7,7,8,8,10
y21,2_final,msu,msu_final,y21_msu_final,6,7,5,7,6,7,7,7,7,5,7,9,8,6,7,8,8
y21,0_initial,msu,msu_initial,y21_msu_initial,3,5,4,1,1,1,3,5,5,5,6,9,5,7,8,9,9
y21,0_initial,msu,msu_initial,y21_msu_initial,4,6,1,6,2,4,3,8,7,5,5,8,3,4,6,5,8
y21,0_initial,msu,msu_initial,y21_msu_initial,3,4,2,2,2,3,6,4,3,2,8,10,7,3,9,8,9
y21,0_initial,msu,msu_initial,y21_msu_initial,6,7,3,4,3,3,4,8,3,2,8,6,6,8,7,6,4
y21,0_initial,msu,msu_initial,y21_msu_initial,4,5,4,4,4,4,7,6,7,7,9,7,5,7,9,9,6
y21,0_initial,msu,msu_initial,y21_msu_initial,8,9,8,7,7,7,3,4,4,4,10,9,4,8,9,8,9
y21,0_initial,msu,msu_initial,y21_msu_initial,4,6,3,4,5,5,8,8,8,6,8,8,5,8,8,10,9
y21,0_initial,msu,msu_initial,y21_msu_initial,7,6,7,7,1,6,1,1,1,1,10,10,9,9,9,9,6
y21,0_initial,msu,msu_initial,y21_msu_initial,5,4,2,3,4,1,9,7,7,6,8,8,2,8,10,10,7
y21,0_initial,msu,msu_initial,y21_msu_initial,8,5,1,8,8,8,8,6,3,2,10,10,8,10,10,9,10
y21,0_initial,msu,msu_initial,y21_msu_initial,5,5,3,3,1,2,4,2,6,2,7,10,2,9,6,9,8
y21,0_initial,msu,msu_initial,y21_msu_initial,2,3,2,2,3,3,7,5,5,5,9,8,2,8,10,8,7
y21,0_initial,msu,msu_initial,y21_msu_initial,3,6,1,1,1,4,4,7,7,6,10,10,7,4,4,5,6
y21,0_initial,msu,msu_initial,y21_msu_initial,1,7,1,2,1,1,5,6,7,4,7,6,4,6,7,6,5
y21,0_initial,msu,msu_initial,y21_msu_initial,2,6,1,4,7,7,6,7,7,5,10,10,10,8,10,10,10
y21,0_initial,msu,msu_initial,y21_msu_initial,7,7,2,2,1,6,1,2,6,1,9,7,7,7,9,8,9
y21,0_initial,msu,msu_initial,y21_msu_initial,3,7,2,5,6,6,7,9,8,6,9,10,10,9,10,8,8
y21,0_initial,msu,msu_initial,y21_msu_initial,3,5,3,2,2,2,3,2,3,4,8,6,4,7,8,8,6
y21,0_initial,msu,msu_initial,y21_msu_initial,3,6,1,1,2,4,5,6,6,4,3,8,8,5,6,7,7
y21,1_mid,msu,msu_mid,y21_msu_mid,9,9,9,8,8,8,9,9,9,8,10,10,10,9,10,9,10
y21,1_mid,msu,msu_mid,y21_msu_mid,7,7,6,7,6,7,7,8,9,7,7,8,7,4,7,7,8
y21,1_mid,msu,msu_mid,y21_msu_mid,3,4,2,2,2,2,5,2,2,2,9,9,9,5,9,9,10
y21,1_mid,msu,msu_mid,y21_msu_mid,5,7,5,4,3,5,6,8,8,7,7,9,7,8,5,3,6
y21,1_mid,msu,msu_mid,y21_msu_mid,5,5,3,4,3,6,6,7,7,7,8,6,4,8,9,8,6
y21,1_mid,msu,msu_mid,y21_msu_mid,8,8,8,7,6,9,3,4,3,3,10,9,3,8,5,7,8
y21,1_mid,msu,msu_mid,y21_msu_mid,6,8,7,7,7,7,9,9,9,9,9,10,6,4,7,9,9
y21,1_mid,msu,msu_mid,y21_msu_mid,8,6,7,8,1,8,1,1,1,1,10,10,10,8,8,9,7
y21,1_mid,msu,msu_mid,y21_msu_mid,6,5,2,7,7,7,9,7,8,7,10,10,2,8,10,10,8
y21,1_mid,msu,msu_mid,y21_msu_mid,7,5,1,5,7,6,6,4,2,3,10,10,8,7,10,7,10
y21,1_mid,msu,msu_mid,y21_msu_mid,6,6,4,3,1,4,5,4,7,2,7,10,10,10,9,9,7
y21,1_mid,msu,msu_mid,y21_msu_mid,5,3,4,4,4,5,6,6,4,6,8,7,4,5,7,6,5
y21,1_mid,msu,msu_mid,y21_msu_mid,8,7,7,6,7,7,9,9,9,8,8,9,9,9,9,10,9
y21,1_mid,msu,msu_mid,y21_msu_mid,7,8,7,7,7,7,6,6,7,6,6,6,3,5,5,5,5
y21,1_mid,msu,msu_mid,y21_msu_mid,4,5,1,4,4,4,5,6,6,6,10,10,10,5,10,10,10
y21,1_mid,msu,msu_mid,y21_msu_mid,6,6,2,3,3,3,2,3,10,3,8,9,10,8,10,9,5
y21,1_mid,msu,msu_mid,y21_msu_mid,6,7,6,7,7,7,8,9,7,5,8,10,9,8,8,8,7
y21,1_mid,msu,msu_mid,y21_msu_mid,7,5,5,3,4,2,2,4,4,5,8,7,3,8,8,7,8
y21,1_mid,msu,msu_mid,y21_msu_mid,6,7,6,6,6,7,7,8,8,7,6,9,8,6,5,6,8
y21,2_final,unam,unam_final,y21_unam_final,9,7,9,10,9,9,9,7,8,8,10,10,10,9,10,9,9
y21,2_final,unam,unam_final,y21_unam_final,8,7,8,10,10,9,9,8,8,10,8,8,8,9,9,8,10
y21,2_final,unam,unam_final,y21_unam_final,9,9,9,8,8,8,8,7,8,8,9,10,10,9,10,10,10
y21,2_final,unam,unam_final,y21_unam_final,9,9,9,10,9,10,9,8,7,10,10,10,10,9,9,9,9
y21,2_final,unam,unam_final,y21_unam_final,8,7,7,10,9,10,8,6,6,8,8,8,9,8,8,9,7
y21,2_final,unam,unam_final,y21_unam_final,8,8,4,10,9,8,9,8,10,8,9,9,9,7,7,10,9
y21,2_final,unam,unam_final,y21_unam_final,5,4,5,7,3,5,2,2,3,2,5,5,5,3,9,3,4
y21,2_final,unam,unam_final,y21_unam_final,8,7,7,9,9,8,9,9,9,9,9,8,9,9,9,9,9
y21,2_final,unam,unam_final,y21_unam_final,8,7,6,9,8,8,9,6,6,5,9,9,9,9,10,9,9
y21,2_final,unam,unam_final,y21_unam_final,6,3,3,5,5,5,5,3,2,1,10,10,10,8,8,8,6
y21,0_initial,unam,unam_initial,y21_unam_initial,3,3,1,5,4,2,8,6,4,5,10,10,7,6,10,7,9
y21,0_initial,unam,unam_initial,y21_unam_initial,8,7,5,9,10,9,9,6,7,10,8,8,8,8,9,8,9
y21,0_initial,unam,unam_initial,y21_unam_initial,6,8,8,4,3,6,7,4,8,8,9,10,10,6,10,10,9
y21,0_initial,unam,unam_initial,y21_unam_initial,8,8,7,8,8,9,9,6,6,9,9,9,9,8,9,9,9
y21,0_initial,unam,unam_initial,y21_unam_initial,3,6,1,8,6,7,7,7,4,7,7,8,6,7,9,7,8
y21,0_initial,unam,unam_initial,y21_unam_initial,8,8,3,9,8,7,9,9,10,8,9,10,9,8,9,8,7
y21,0_initial,unam,unam_initial,y21_unam_initial,5,2,3,5,1,6,2,2,2,2,2,6,5,2,6,3,5
y21,0_initial,unam,unam_initial,y21_unam_initial,3,6,3,6,6,4,7,7,6,6,8,7,6,6,9,9,8
y21,0_initial,unam,unam_initial,y21_unam_initial,6,4,1,7,7,6,8,5,2,3,7,7,9,7,7,6,7
y21,0_initial,unam,unam_initial,y21_unam_initial,5,5,3,4,5,4,4,4,2,2,7,10,10,8,5,6,5
y21,1_mid,unam,unam_mid,y21_unam_mid,6,4,7,8,8,8,9,7,6,7,8,9,10,8,10,8,8
y21,1_mid,unam,unam_mid,y21_unam_mid,8,7,8,9,9,8,9,7,7,10,9,9,10,9,9,10,10
y21,1_mid,unam,unam_mid,y21_unam_mid,8,8,8,7,8,8,7,7,7,8,9,10,9,6,9,10,9
y21,1_mid,unam,unam_mid,y21_unam_mid,10,9,9,10,9,9,9,9,8,10,9,10,10,9,9,8,7
y21,1_mid,unam,unam_mid,y21_unam_mid,6,7,3,9,8,8,7,6,5,8,8,9,9,7,8,7,5
y21,1_mid,unam,unam_mid,y21_unam_mid,7,7,4,9,8,7,9,9,9,8,8,10,9,8,6,10,9
y21,1_mid,unam,unam_mid,y21_unam_mid,6,3,6,6,2,5,2,2,3,2,3,6,7,3,7,5,2
y21,1_mid,unam,unam_mid,y21_unam_mid,6,5,5,7,8,7,9,8,8,9,8,9,9,7,8,10,9
y21,1_mid,unam,unam_mid,y21_unam_mid,8,7,6,9,8,8,9,6,4,4,8,9,8,7,8,8,7
y21,1_mid,unam,unam_mid,y21_unam_mid,5,3,3,3,2,3,3,3,2,1,7,10,10,7,5,5,4
y22,2_final,msu,msu_final,y22_msu_final,7,7,8,8,6,9,9,6,6,9,8,10,10,7,9,10,9
y22,2_final,msu,msu_final,y22_msu_final,5,5,2,5,5,5,5,7,9,3,10,10,10,10,10,10,10
y22,2_final,msu,msu_final,y22_msu_final,6,7,5,5,6,6,8,8,8,7,9,9,8,7,9,9,8
y22,2_final,msu,msu_final,y22_msu_final,5,3,3,3,3,6,4,4,5,3,9,10,9,5,6,7,7
y22,2_final,msu,msu_final,y22_msu_final,7,8,7,4,7,7,3,3,3,3,8,8,8,8,8,8,7
y22,2_final,msu,msu_final,y22_msu_final,7,7,7,5,5,5,6,6,6,5,7,8,8,8,8,8,8
y22,2_final,msu,msu_final,y22_msu_final,8,7,7,7,6,8,3,1,1,2,8,9,2,4,7,6,2
y22,2_final,msu,msu_final,y22_msu_final,7,8,7,7,6,7,7,7,7,7,8,8,8,8,8,8,8
y22,2_final,msu,msu_final,y22_msu_final,7,7,7,7,7,7,6,8,7,8,6,7,6,6,6,6,8
y22,2_final,msu,msu_final,y22_msu_final,8,7,7,7,8,8,9,9,8,6,7,9,8,8,8,7,7
y22,2_final,msu,msu_final,y22_msu_final,8,8,8,8,6,7,4,6,5,8,7,8,7,7,7,6,7
y22,2_final,msu,msu_final,y22_msu_final,3,4,4,2,2,1,2,2,5,4,5,8,8,7,8,8,8
y22,2_final,msu,msu_final,y22_msu_final,4,6,2,7,6,6,8,6,8,7,7,5,3,6,10,9,5
y22,2_final,msu,msu_final,y22_msu_final,7,8,7,5,7,6,4,8,6,7,8,9,5,5,10,7,6
y22,0_initial,msu,msu_initial,y22_msu_initial,6,7,8,9,6,7,9,7,4,9,5,10,10,8,10,8,6
y22,0_initial,msu,msu_initial,y22_msu_initial,2,6,1,2,1,1,2,6,10,1,10,10,10,10,10,10,7
y22,0_initial,msu,msu_initial,y22_msu_initial,3,5,6,1,3,4,7,7,8,5,9,9,7,6,9,8,7
y22,0_initial,msu,msu_initial,y22_msu_initial,2,3,1,1,1,2,2,2,2,2,9,9,3,4,5,5,5
y22,0_initial,msu,msu_initial,y22_msu_initial,4,7,5,5,7,6,3,1,1,1,7,7,7,7,8,8,4
y22,0_initial,msu,msu_initial,y22_msu_initial,4,6,5,2,2,2,1,1,1,3,8,10,3,5,7,7,8
y22,0_initial,msu,msu_initial,y22_msu_initial,7,5,4,7,5,6,4,1,1,1,8,10,1,5,7,5,2
y22,0_initial,msu,msu_initial,y22_msu_initial,2,6,3,3,2,4,5,7,7,6,7,7,7,8,8,7,7
y22,0_initial,msu,msu_initial,y22_msu_initial,2,4,3,1,2,2,4,7,7,7,5,5,6,4,4,6,7
y22,0_initial,msu,msu_initial,y22_msu_initial,6,7,3,7,8,8,9,9,9,8,8,8,5,8,6,5,9
y22,0_initial,msu,msu_initial,y22_msu_initial,9,7,7,8,7,7,4,2,2,7,5,8,8,8,8,3,5
y22,0_initial,msu,msu_initial,y22_msu_initial,3,5,3,1,1,1,1,1,4,2,8,10,10,8,10,10,10
y22,0_initial,msu,msu_initial,y22_msu_initial,5,5,2,6,5,5,7,6,6,3,8,8,7,7,10,9,4
y22,0_initial,msu,msu_initial,y22_msu_initial,7,7,7,6,7,7,7,7,6,7,9,9,3,6,9,7,7
y22,1_mid,msu,msu_mid,y22_msu_mid,7,8,8,10,6,8,9,7,3,9,8,10,10,9,10,8,9
y22,1_mid,msu,msu_mid,y22_msu_mid,6,8,2,4,5,5,7,8,9,5,10,10,8,9,10,10,10
y22,1_mid,msu,msu_mid,y22_msu_mid,5,7,5,4,5,7,8,8,8,7,8,9,8,7,9,9,8
y22,1_mid,msu,msu_mid,y22_msu_mid,3,3,2,2,2,3,3,3,4,3,2,4,3,3,4,3,5
y22,1_mid,msu,msu_mid,y22_msu_mid,7,7,7,7,6,7,6,6,6,5,8,8,7,7,8,7,6
y22,1_mid,msu,msu_mid,y22_msu_mid,8,8,8,5,5,5,6,6,4,5,6,6,6,6,6,6,6
y22,1_mid,msu,msu_mid,y22_msu_mid,8,6,6,7,4,6,3,2,2,2,7,7,3,3,7,3,2
y22,1_mid,msu,msu_mid,y22_msu_mid,7,9,7,7,8,7,7,8,8,8,9,9,9,9,9,9,7
y22,1_mid,msu,msu_mid,y22_msu_mid,7,7,6,7,7,7,7,9,7,8,6,7,6,6,6,6,6
y22,1_mid,msu,msu_mid,y22_msu_mid,8,7,6,5,7,7,9,8,7,4,8,8,8,8,8,7,7
y22,1_mid,msu,msu_mid,y22_msu_mid,8,8,5,8,8,8,3,1,1,8,8,8,5,6,8,7,7
y22,1_mid,msu,msu_mid,y22_msu_mid,7,7,7,5,3,2,1,2,6,3,8,8,7,8,8,8,9
y22,1_mid,msu,msu_mid,y22_msu_mid,6,7,3,7,8,6,9,8,9,8,4,1,1,4,8,8,1
y22,1_mid,msu,msu_mid,y22_msu_mid,7,7,6,7,6,4,3,7,2,8,8,8,2,5,10,6,6
y22,2_final,unam,unam_final,y22_unam_final,7,6,6,6,6,6,9,8,7,7,8,9,8,7,8,8,8
y22,2_final,unam,unam_final,y22_unam_final,7,8,6,5,7,8,4,3,3,4,8,9,10,8,10,9,9
y22,2_final,unam,unam_final,y22_unam_final,9,9,9,9,9,9,8,8,8,10,10,10,9,9,9,9,9
y22,2_final,unam,unam_final,y22_unam_final,6,5,8,4,6,4,9,4,4,5,7,10,9,7,10,7,8
y22,2_final,unam,unam_final,y22_unam_final,3,5,2,2,4,4,8,8,8,1,4,6,6,5,6,7,7
y22,2_final,unam,unam_final,y22_unam_final,9,8,9,9,9,10,9,9,9,9,10,10,9,10,10,10,10
y22,2_final,unam,unam_final,y22_unam_final,6,6,4,4,6,6,9,7,4,5,10,9,9,8,8,8,7
y22,2_final,unam,unam_final,y22_unam_final,9,9,8,10,9,10,9,8,8,10,9,9,9,9,9,9,9
y22,2_final,unam,unam_final,y22_unam_final,8,8,8,7,7,8,10,5,6,6,10,10,10,9,10,10,8
y22,2_final,unam,unam_final,y22_unam_final,7,7,5,8,6,7,9,6,5,6,7,8,9,6,7,9,7
y22,0_initial,unam,unam_initial,y22_unam_initial,1,1,1,2,2,1,8,2,6,5,8,8,8,8,9,9,9
y22,0_initial,unam,unam_initial,y22_unam_initial,6,8,4,6,7,7,5,2,5,7,7,10,10,6,10,8,8
y22,0_initial,unam,unam_initial,y22_unam_initial,4,8,8,6,7,8,8,6,7,9,9,9,8,9,9,8,9
y22,0_initial,unam,unam_initial,y22_unam_initial,3,5,6,3,3,3,8,4,4,4,5,9,7,7,10,7,9
y22,0_initial,unam,unam_initial,y22_unam_initial,1,4,1,1,2,5,7,7,7,1,6,7,5,5,7,7,7
y22,0_initial,unam,unam_initial,y22_unam_initial,4,7,7,4,4,8,9,7,7,8,9,10,8,8,10,10,9
y22,0_initial,unam,unam_initial,y22_unam_initial,3,8,1,2,4,4,9,5,2,7,10,9,10,7,10,9,8
y22,0_initial,unam,unam_initial,y22_unam_initial,8,9,7,9,9,9,9,7,8,9,8,8,9,9,9,9,8
y22,0_initial,unam,unam_initial,y22_unam_initial,6,6,6,4,7,7,8,5,5,4,10,10,10,7,10,8,6
y22,0_initial,unam,unam_initial,y22_unam_initial,3,6,1,6,3,7,7,4,4,4,6,6,9,5,8,8,7
y22,1_mid,unam,unam_mid,y22_unam_mid,5,5,4,6,6,7,10,8,8,8,9,10,8,8,8,9,9
y22,1_mid,unam,unam_mid,y22_unam_mid,5,8,5,4,7,8,4,3,4,4,8,10,10,7,9,9,7
y22,1_mid,unam,unam_mid,y22_unam_mid,8,9,7,8,8,8,8,7,7,10,9,9,9,9,9,9,9
y22,1_mid,unam,unam_mid,y22_unam_mid,6,6,7,6,6,5,9,4,4,4,6,9,9,8,10,8,10
y22,1_mid,unam,unam_mid,y22_unam_mid,3,5,2,2,5,5,7,7,7,2,6,7,5,5,10,6,6
y22,1_mid,unam,unam_mid,y22_unam_mid,8,8,8,9,9,10,9,9,9,10,9,10,9,9,10,10,9
y22,1_mid,unam,unam_mid,y22_unam_mid,3,5,2,3,4,6,10,4,2,5,10,10,9,7,9,9,6
y22,1_mid,unam,unam_mid,y22_unam_mid,9,9,8,9,9,9,9,7,7,9,8,9,8,8,9,9,9
y22,1_mid,unam,unam_mid,y22_unam_mid,8,8,8,7,6,7,9,6,6,6,10,10,10,9,10,10,8
y22,1_mid,unam,unam_mid,y22_unam_mid,7,6,5,8,6,8,9,6,4,6,7,7,10,7,6,9,8
y23,2_final,msu,msu_final,y23_msu_final,9,8,8,7,7,8,10,10,8,8,10,10,10,9,10,10,10
y23,2_final,msu,msu_final,y23_msu_final,8,8,5,5,3,5,5,5,8,5,7,8,8,6,7,5,4
y23,2_final,msu,msu_final,y23_msu_final,9,9,9,6,3,6,1,1,1,1,8,5,5,6,5,6,8
y23,2_final,msu,msu_final,y23_msu_final,8,6,8,10,3,8,8,3,6,2,8,9,10,8,8,9,7
y23,2_final,msu,msu_final,y23_msu_final,8,5,7,8,8,8,4,2,2,6,8,8,8,10,8,9,9
y23,2_final,msu,msu_final,y23_msu_final,5,6,5,4,3,4,3,3,4,3,10,10,10,5,10,10,7
y23,2_final,msu,msu_final,y23_msu_final,6,5,2,4,3,6,7,6,6,4,10,10,9,5,6,1,8
y23,2_final,msu,msu_final,y23_msu_final,4,6,2,2,2,7,6,6,6,5,8,6,6,7,8,8,8
y23,2_final,msu,msu_final,y23_msu_final,10,9,5,10,10,10,9,9,9,6,8,5,5,10,10,10,8
y23,2_final,msu,msu_final,y23_msu_final,8,8,6,6,7,8,8,10,10,6,7,8,8,7,7,6,5
y23,2_final,msu,msu_final,y23_msu_final,3,3,2,4,2,2,3,3,3,2,3,2,1,3,3,1,3
y23,2_final,msu,msu_final,y23_msu_final,9,9,9,7,7,8,6,6,6,6,8,10,10,8,8,8,9
y23,2_final,msu,msu_final,y23_msu_final,8,8,7,5,5,8,7,7,7,9,9,9,8,8,7,8,8
y23,2_final,msu,msu_final,y23_msu_final,9,9,9,8,7,8,7,7,7,7,10,10,10,9,10,8,7
y23,2_final,msu,msu_final,y23_msu_final,4,3,4,4,3,3,9,6,6,6,10,10,10,10,10,9,7
y23,0_initial,msu,msu_initial,y23_msu_initial,7,5,7,8,1,8,1,1,3,1,8,7,6,5,7,5,1
y23,0_initial,msu,msu_initial,y23_msu_initial,5,4,1,6,6,6,5,1,2,8,8,8,8,8,8,8,8
y23,0_initial,msu,msu_initial,y23_msu_initial,1,8,1,1,1,1,3,2,5,2,5,5,8,7,7,7,9
y23,0_initial,msu,msu_initial,y23_msu_initial,7,6,6,9,3,8,8,6,6,4,6,8,7,7,6,9,6
y23,0_initial,msu,msu_initial,y23_msu_initial,9,9,6,9,9,9,8,8,7,3,6,6,4,7,10,10,4
y23,0_initial,msu,msu_initial,y23_msu_initial,7,7,7,1,1,5,9,9,4,1,8,10,10,9,10,10,10
y23,0_initial,msu,msu_initial,y23_msu_initial,4,4,3,3,2,4,4,3,3,2,10,10,10,5,5,3,6
y23,0_initial,msu,msu_initial,y23_msu_initial,2,3,1,1,3,5,3,4,6,1,5,10,10,7,7,6,5
y23,0_initial,msu,msu_initial,y23_msu_initial,5,7,4,3,6,7,7,4,3,7,8,8,4,7,7,6,5
y23,0_initial,msu,msu_initial,y23_msu_initial,6,5,1,3,1,5,1,1,1,1,10,6,6,7,10,10,5
y23,0_initial,msu,msu_initial,y23_msu_initial,4,5,5,1,1,4,5,5,8,1,5,5,5,5,5,5,5
y23,0_initial,msu,msu_initial,y23_msu_initial,3,5,1,1,2,1,5,3,5,3,5,3,3,5,4,2,7
y23,0_initial,msu,msu_initial,y23_msu_initial,9,9,9,6,5,7,5,4,5,2,10,9,10,9,9,10,6
y23,0_initial,msu,msu_initial,y23_msu_initial,4,5,3,4,3,3,3,3,5,3,10,10,10,6,10,10,8
y23,1_mid,msu,msu_mid,y23_msu_mid,4,3,2,2,3,2,5,3,5,3,2,2,2,6,5,4,7
y23,1_mid,msu,msu_mid,y23_msu_mid,7,3,1,7,4,7,2,2,2,4,8,8,8,8,7,10,8
y23,1_mid,msu,msu_mid,y23_msu_mid,9,9,5,9,9,9,9,9,9,9,9,7,5,8,8,9,6
